model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;True;False;False;100;4;100;1;1;1;False;0.70;-0.1202;0.0464
svd;False;True;False;False;100;4;100;1;1;1;False;0.80;-0.1459;0.0154
svd;False;True;False;False;100;4;100;1;1;1;False;0.90;-0.1019;0.0917
svd;False;True;False;False;100;4;100;15;1;1;False;0.60;0.0571;0.3452
svd;False;True;False;False;100;4;100;15;1;1;False;0.70;0.0505;0.4041
svd;False;True;False;False;100;4;100;15;1;1;False;0.80;0.0484;0.4237
svd;False;True;False;False;100;4;100;15;1;1;False;0.90;0.0556;0.3579
svd;False;False;False;False;10;5;100;1;1;1;False;0.60;0.0623;0.2974
svd;False;False;False;False;10;5;100;1;1;1;False;0.70;0.0203;0.7346
svd;False;False;False;False;10;5;100;1;1;1;False;0.80;-0.0290;0.6277
svd;False;False;False;False;10;5;100;1;1;1;False;0.90;-0.0355;0.5523
svd;False;False;False;False;10;5;100;15;1;1;False;0.60;-0.0093;0.8764
svd;False;False;False;False;10;5;100;15;1;1;False;0.70;-0.0014;0.9812
svd;False;False;False;False;10;5;100;15;1;1;False;0.80;0.0311;0.6028
svd;False;False;False;False;10;5;100;15;1;1;False;0.90;0.0346;0.5633
svd;False;True;False;False;10;5;100;1;1;1;False;0.60;0.0433;0.4690
svd;False;True;False;False;10;5;100;1;1;1;False;0.70;0.0110;0.8534
svd;False;True;False;False;10;5;100;1;1;1;False;0.80;-0.0414;0.4886
svd;False;True;False;False;10;5;100;1;1;1;False;0.90;0.0171;0.7754
svd;False;True;False;False;10;5;100;15;1;1;False;0.60;-0.0234;0.6959
svd;False;True;False;False;10;5;100;15;1;1;False;0.70;0.0145;0.8087
svd;False;True;False;False;10;5;100;15;1;1;False;0.80;0.0492;0.4105
svd;False;True;False;False;10;5;100;15;1;1;False;0.90;0.0501;0.4021
svd;False;False;False;False;50;5;100;1;1;1;False;0.60;-0.0678;0.2572
svd;False;False;False;False;50;5;100;1;1;1;False;0.70;-0.0751;0.2092
svd;False;False;False;False;50;5;100;1;1;1;False;0.80;-0.0986;0.0992
svd;False;False;False;False;50;5;100;1;1;1;False;0.90;-0.0176;0.7692
svd;False;False;False;False;50;5;100;15;1;1;False;0.60;0.0255;0.6709
svd;False;False;False;False;50;5;100;15;1;1;False;0.70;0.0494;0.4091
svd;False;False;False;False;50;5;100;15;1;1;False;0.80;0.0500;0.4034
svd;False;False;False;False;50;5;100;15;1;1;False;0.90;0.0537;0.3701
svd;False;True;False;False;50;5;100;1;1;1;False;0.60;-0.0678;0.2572
svd;False;True;False;False;50;5;100;1;1;1;False;0.70;-0.0731;0.2220
svd;False;True;False;False;50;5;100;1;1;1;False;0.80;-0.0666;0.2659
svd;False;True;False;False;50;5;100;1;1;1;False;0.90;-0.0618;0.3021
svd;False;True;False;False;50;5;100;15;1;1;False;0.60;0.0011;0.9855
svd;False;True;False;False;50;5;100;15;1;1;False;0.70;0.0370;0.5371
svd;False;True;False;False;50;5;100;15;1;1;False;0.80;0.0502;0.4015
svd;False;True;False;False;50;5;100;15;1;1;False;0.90;0.0528;0.3780
svd;False;False;False;False;100;5;100;1;1;1;False;0.60;-0.0887;0.1424
svd;False;False;False;False;100;5;100;1;1;1;False;0.70;-0.1165;0.0536
svd;False;False;False;False;100;5;100;1;1;1;False;0.80;-0.1496;0.0130
svd;False;False;False;False;100;5;100;1;1;1;False;0.90;0.0300;0.6208
svd;False;False;False;False;100;5;100;15;1;1;False;0.60;0.0661;0.2749
svd;False;False;False;False;100;5;100;15;1;1;False;0.70;0.0593;0.3276
svd;False;False;False;False;100;5;100;15;1;1;False;0.80;0.0532;0.3794
svd;False;False;False;False;100;5;100;15;1;1;False;0.90;0.0558;0.3570
svd;False;True;False;False;100;5;100;1;1;1;False;0.60;-0.0929;0.1243
svd;False;True;False;False;100;5;100;1;1;1;False;0.70;-0.1278;0.0341
svd;False;True;False;False;100;5;100;1;1;1;False;0.80;-0.1293;0.0321
svd;False;True;False;False;100;5;100;1;1;1;False;0.90;-0.0688;0.2554
