model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;False;False;False;100;3;100;15;1;1;False;0.60;-0.0060;0.9518
svd;False;False;False;False;100;3;100;15;1;1;False;0.70;0.0024;0.9805
svd;False;False;False;False;100;3;100;15;1;1;False;0.80;0.0109;0.9126
svd;False;False;False;False;100;3;100;15;1;1;False;0.90;0.0168;0.8663
svd;False;True;False;False;100;3;100;1;1;1;False;0.60;-0.0170;0.8648
svd;False;True;False;False;100;3;100;1;1;1;False;0.70;-0.0357;0.7200
svd;False;True;False;False;100;3;100;1;1;1;False;0.80;0.0065;0.9480
svd;False;True;False;False;100;3;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;True;False;False;100;3;100;15;1;1;False;0.60;0.1054;0.2892
svd;False;True;False;False;100;3;100;15;1;1;False;0.70;0.1171;0.2389
svd;False;True;False;False;100;3;100;15;1;1;False;0.80;0.1307;0.1880
svd;False;True;False;False;100;3;100;15;1;1;False;0.90;0.1392;0.1608
svd;False;False;False;False;10;4;100;1;1;1;False;0.60;0.0339;0.7342
svd;False;False;False;False;10;4;100;1;1;1;False;0.70;0.0658;0.5088
svd;False;False;False;False;10;4;100;1;1;1;False;0.80;0.0238;0.8115
svd;False;False;False;False;10;4;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;10;4;100;15;1;1;False;0.60;-0.1362;0.1702
svd;False;False;False;False;10;4;100;15;1;1;False;0.70;-0.1517;0.1262
svd;False;False;False;False;10;4;100;15;1;1;False;0.80;-0.0530;0.5947
svd;False;False;False;False;10;4;100;15;1;1;False;0.90;-0.1439;0.1469
svd;False;True;False;False;10;4;100;1;1;1;False;0.60;0.0021;0.9830
svd;False;True;False;False;10;4;100;1;1;1;False;0.70;0.0342;0.7316
svd;False;True;False;False;10;4;100;1;1;1;False;0.80;-0.0084;0.9332
svd;False;True;False;False;10;4;100;1;1;1;False;0.90;nan;1.0000
svd;False;True;False;False;10;4;100;15;1;1;False;0.60;-0.1718;0.0827
svd;False;True;False;False;10;4;100;15;1;1;False;0.70;-0.2049;0.0378
svd;False;True;False;False;10;4;100;15;1;1;False;0.80;-0.0264;0.7915
svd;False;True;False;False;10;4;100;15;1;1;False;0.90;0.0463;0.6424
svd;False;False;False;False;50;4;100;1;1;1;False;0.60;0.0522;0.6002
svd;False;False;False;False;50;4;100;1;1;1;False;0.70;0.0606;0.5434
svd;False;False;False;False;50;4;100;1;1;1;False;0.80;-0.0572;0.5658
svd;False;False;False;False;50;4;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;50;4;100;15;1;1;False;0.60;0.1050;0.2910
svd;False;False;False;False;50;4;100;15;1;1;False;0.70;0.1139;0.2519
svd;False;False;False;False;50;4;100;15;1;1;False;0.80;0.1219;0.2200
svd;False;False;False;False;50;4;100;15;1;1;False;0.90;0.1225;0.2177
svd;False;True;False;False;50;4;100;1;1;1;False;0.60;-0.0042;0.9661
svd;False;True;False;False;50;4;100;1;1;1;False;0.70;-0.0038;0.9692
